occupationLabel,person
politician,http://www.wikidata.org/entity/Q13529989
association football player,http://www.wikidata.org/entity/Q13549710
politician,http://www.wikidata.org/entity/Q15711259
entrepreneur,http://www.wikidata.org/entity/Q15819866
criminal,http://www.wikidata.org/entity/Q15993104
businessperson,http://www.wikidata.org/entity/Q16106025
politician,http://www.wikidata.org/entity/Q99850
photographer,http://www.wikidata.org/entity/Q103637
actor,http://www.wikidata.org/entity/Q103637
entrepreneur,http://www.wikidata.org/entity/Q103637
musician,http://www.wikidata.org/entity/Q103637
film director,http://www.wikidata.org/entity/Q103637
film producer,http://www.wikidata.org/entity/Q103637
politician,http://www.wikidata.org/entity/Q106963
businessperson,http://www.wikidata.org/entity/Q115055
record producer,http://www.wikidata.org/entity/Q115055
television producer,http://www.wikidata.org/entity/Q115055
talent agent,http://www.wikidata.org/entity/Q115055
theatrical producer,http://www.wikidata.org/entity/Q115055
music executive,http://www.wikidata.org/entity/Q115055
film producer,http://www.wikidata.org/entity/Q115055
functionary,http://www.wikidata.org/entity/Q124138
lawyer,http://www.wikidata.org/entity/Q134068
politician,http://www.wikidata.org/entity/Q134068
entrepreneur,http://www.wikidata.org/entity/Q134068
cricketer,http://www.wikidata.org/entity/Q134068
helicopter pilot,http://www.wikidata.org/entity/Q153330
actor,http://www.wikidata.org/entity/Q162629
writer,http://www.wikidata.org/entity/Q162629
film producer,http://www.wikidata.org/entity/Q162629
lawyer,http://www.wikidata.org/entity/Q170899
politician,http://www.wikidata.org/entity/Q170899
racecar driver,http://www.wikidata.org/entity/Q171350
writer,http://www.wikidata.org/entity/Q179242
politician,http://www.wikidata.org/entity/Q179242
university professor,http://www.wikidata.org/entity/Q179242
physician,http://www.wikidata.org/entity/Q182609
surgeon,http://www.wikidata.org/entity/Q182609
rugby union player,http://www.wikidata.org/entity/Q182609
lawyer,http://www.wikidata.org/entity/Q188978
politician,http://www.wikidata.org/entity/Q188978
association football player,http://www.wikidata.org/entity/Q192035
tennis player,http://www.wikidata.org/entity/Q193665
military personnel,http://www.wikidata.org/entity/Q202582
politician,http://www.wikidata.org/entity/Q202582
association football player,http://www.wikidata.org/entity/Q216928
politician,http://www.wikidata.org/entity/Q242651
motorcycle racer,http://www.wikidata.org/entity/Q249447
politician,http://www.wikidata.org/entity/Q260324
businessperson,http://www.wikidata.org/entity/Q266568
model,http://www.wikidata.org/entity/Q266568
association football player,http://www.wikidata.org/entity/Q284359
lawyer,http://www.wikidata.org/entity/Q293066
politician,http://www.wikidata.org/entity/Q293066
lawyer,http://www.wikidata.org/entity/Q296741
politician,http://www.wikidata.org/entity/Q296741
writer,http://www.wikidata.org/entity/Q298532
journalist,http://www.wikidata.org/entity/Q298532
association football player,http://www.wikidata.org/entity/Q310571
association football player,http://www.wikidata.org/entity/Q313050
politician,http://www.wikidata.org/entity/Q313816
psychiatrist,http://www.wikidata.org/entity/Q313816
lawyer,http://www.wikidata.org/entity/Q332640
businessperson,http://www.wikidata.org/entity/Q332640
entrepreneur,http://www.wikidata.org/entity/Q332640
businessperson,http://www.wikidata.org/entity/Q335530
politician,http://www.wikidata.org/entity/Q335530
association football player,http://www.wikidata.org/entity/Q342572
manager,http://www.wikidata.org/entity/Q350917
politician,http://www.wikidata.org/entity/Q367825
politician,http://www.wikidata.org/entity/Q379547
politician,http://www.wikidata.org/entity/Q380590
screenwriter,http://www.wikidata.org/entity/Q399076
actor,http://www.wikidata.org/entity/Q399076
film producer,http://www.wikidata.org/entity/Q399076
politician,http://www.wikidata.org/entity/Q400918
president,http://www.wikidata.org/entity/Q400918
politician,http://www.wikidata.org/entity/Q455341
drug lord,http://www.wikidata.org/entity/Q456321
drug trafficker,http://www.wikidata.org/entity/Q456321
politician,http://www.wikidata.org/entity/Q458702
politician,http://www.wikidata.org/entity/Q463588
journalist,http://www.wikidata.org/entity/Q463588
association football manager,http://www.wikidata.org/entity/Q484909
association football player,http://www.wikidata.org/entity/Q484909
politician,http://www.wikidata.org/entity/Q519068
association football player,http://www.wikidata.org/entity/Q521964
golfer,http://www.wikidata.org/entity/Q531520
criminal,http://www.wikidata.org/entity/Q553191
politician,http://www.wikidata.org/entity/Q558815
politician,http://www.wikidata.org/entity/Q559607
businessperson,http://www.wikidata.org/entity/Q561837
politician,http://www.wikidata.org/entity/Q561837
civil engineer,http://www.wikidata.org/entity/Q561837
businessperson,http://www.wikidata.org/entity/Q599233
entrepreneur,http://www.wikidata.org/entity/Q599233
physician,http://www.wikidata.org/entity/Q671930
politician,http://www.wikidata.org/entity/Q671930
ophthalmologist,http://www.wikidata.org/entity/Q671930
actor,http://www.wikidata.org/entity/Q706667
singer,http://www.wikidata.org/entity/Q706667
television actor,http://www.wikidata.org/entity/Q706667
film actor,http://www.wikidata.org/entity/Q706667
association football player,http://www.wikidata.org/entity/Q708808
futsal player,http://www.wikidata.org/entity/Q708808
businessperson,http://www.wikidata.org/entity/Q709111
engineer,http://www.wikidata.org/entity/Q16195662
entrepreneur,http://www.wikidata.org/entity/Q16195662
politician,http://www.wikidata.org/entity/Q16729012
businessperson,http://www.wikidata.org/entity/Q16983342
politician,http://www.wikidata.org/entity/Q17175081
politician,http://www.wikidata.org/entity/Q18816310
businessperson,http://www.wikidata.org/entity/Q20007262
politician,http://www.wikidata.org/entity/Q23711016
businessperson,http://www.wikidata.org/entity/Q23718894
politician,http://www.wikidata.org/entity/Q23721125
economist,http://www.wikidata.org/entity/Q23721125
judge,http://www.wikidata.org/entity/Q23721853
whistleblower,http://www.wikidata.org/entity/Q23727991
entrepreneur,http://www.wikidata.org/entity/Q713468
lawyer,http://www.wikidata.org/entity/Q716589
politician,http://www.wikidata.org/entity/Q716589
columnist,http://www.wikidata.org/entity/Q716589
politician,http://www.wikidata.org/entity/Q723506
officer,http://www.wikidata.org/entity/Q723506
entrepreneur,http://www.wikidata.org/entity/Q818077
judge,http://www.wikidata.org/entity/Q867733
