time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-06-29T02:24:30.670Z,-14.8932,167.2864,139.8,5,mb,,50,6.31,1.19,us,us10009549,2017-06-29T02:38:25.040Z,"30km NE of Port-Olry, Vanuatu",earthquake,9.8,7.4,0.085,44,reviewed,us,us
2017-06-28T18:32:33.010Z,10.4296,-86.1152,41.11,4.7,mb,,163,0.583,0.95,us,us20009q50,2017-06-29T05:24:51.703Z,"52km W of Sardinal, Costa Rica",earthquake,6.4,9.8,0.04,193,reviewed,us,us
2017-06-28T18:20:53.900Z,-30.3031,-177.6466,10,6,mww,,65,1.082,0.84,us,us20009q4v,2017-06-30T22:27:16.802Z,"117km SSE of Raoul Island, New Zealand",earthquake,7.9,1.2,0.06,27,reviewed,us,us
2017-06-28T12:12:20.360Z,-26.2365,178.5723,652.55,4.7,mb,,96,4.312,0.72,us,us20009q33,2017-06-28T12:29:23.040Z,"South of the Fiji Islands",earthquake,11.8,9.1,0.082,45,reviewed,us,us
2017-06-28T12:07:30.750Z,43.7155,147.9743,49.02,5.4,mww,,34,3.909,0.88,us,us20009q32,2017-06-28T16:18:53.040Z,"101km E of Shikotan, Russia",earthquake,7.8,5,,,reviewed,us,us
2017-06-28T03:50:42.690Z,36.5489,70.9402,189.46,4.9,mb,,59,0.645,0.74,us,us20009q0e,2017-06-28T04:06:46.040Z,"36km SSE of Jarm, Afghanistan",earthquake,6.6,4.7,0.045,158,reviewed,us,us
2017-06-28T00:44:40.910Z,-28.031,-66.5763,151.65,4.6,mb,,44,3.269,1.01,us,us20009pzp,2017-06-28T01:02:04.040Z,"53km NW of Poman, Argentina",earthquake,8.4,9.3,0.125,19,reviewed,us,us
2017-06-27T14:55:29.660Z,1.4218,126.7999,78.15,4.9,mb,,94,0.859,0.58,us,us20009pvs,2017-06-27T17:56:16.040Z,"94km NW of Kota Ternate, Indonesia",earthquake,7.1,4.3,0.053,113,reviewed,us,us
2017-06-27T01:05:03.430Z,2.1453,128.3528,172.22,5,mb,,122,1.683,0.9,us,us20009pt8,2017-06-27T01:16:28.040Z,"59km NE of Tobelo, Indonesia",earthquake,7.8,7.4,0.085,44,reviewed,us,us
2017-06-27T00:14:33.830Z,-24.7241,-177.2318,100.2,5.3,mb,,27,4.545,0.88,us,us20009psx,2017-06-28T03:51:49.040Z,"South of the Fiji Islands",earthquake,7.9,4.4,0.031,353,reviewed,us,us
2017-06-26T14:44:51.200Z,-30.6668,-71.3322,52.3,5.1,mwr,,52,0.261,0.69,us,us20009pqf,2017-06-26T21:56:37.643Z,"14km WSW of Ovalle, Chile",earthquake,7.2,4.3,,,reviewed,us,guc
2017-06-26T13:24:20.400Z,0.5023,126.6735,57.94,4.5,mb,,103,0.743,0.33,us,us20009pq7,2017-06-26T14:31:57.040Z,"83km WSW of Kota Ternate, Indonesia",earthquake,6.7,11.2,0.156,12,reviewed,us,us
2017-06-26T13:12:53.750Z,-9.5949,124.6654,23.29,5,mb,,68,0.423,1.05,us,us20009pq5,2017-06-26T13:56:23.639Z,"4km ESE of Leof, Indonesia",earthquake,7.1,5.4,0.082,48,reviewed,us,us
2017-06-26T07:41:27.540Z,10.3541,126.0766,10,5.1,mb,,75,9.1,1.17,us,us20009ppq,2017-06-26T08:52:26.448Z,"37km N of Santa Monica, Philippines",earthquake,5.8,1.8,0.045,163,reviewed,us,us
2017-06-26T06:59:05.140Z,5.4121,-82.8559,10,4.5,mb,,164,3.14,0.98,us,us20009ppm,2017-06-26T07:23:02.040Z,"289km S of Punta de Burica, Panama",earthquake,7.6,2,0.093,34,reviewed,us,us
2017-06-26T04:11:39.520Z,38.7424,70.779,10,5,mb,,36,0.443,1.03,us,us20009pp8,2017-06-26T04:44:08.195Z,"47km SE of Gharm, Tajikistan",earthquake,3.9,1.8,0.041,186,reviewed,us,us
