"","date","views"
"347",2016-06-11,7109
"348",2016-06-12,8532
"349",2016-06-13,7046
"350",2016-06-14,6046
"351",2016-06-15,5950
"352",2016-06-16,6340
"353",2016-06-17,6436
"354",2016-06-18,7155
"355",2016-06-19,9098
"356",2016-06-20,6495
"357",2016-06-21,6696
"358",2016-06-22,6811
"359",2016-06-23,7097
"360",2016-06-24,7063
"361",2016-06-25,6457
"362",2016-06-26,8476
"363",2016-06-27,8114
"364",2016-06-28,6187
"365",2016-06-29,6841
"366",2016-06-30,6985
"367",2016-07-01,7240
"368",2016-07-02,8368
"369",2016-07-03,10093
"370",2016-07-04,10295
"371",2016-07-05,7145
"372",2016-07-06,6307
"373",2016-07-07,6150
"374",2016-07-08,6179
"375",2016-07-09,7355
"376",2016-07-10,7696
"377",2016-07-11,6564
"378",2016-07-12,6394
"379",2016-07-13,6067
"380",2016-07-14,6064
"381",2016-07-15,7037
"382",2016-07-16,6716
"383",2016-07-17,7669
"384",2016-07-18,6896
"385",2016-07-19,5989
"386",2016-07-20,6261
"387",2016-07-21,6173
"388",2016-07-22,8357
"389",2016-07-23,7691
"390",2016-07-24,7454
"391",2016-07-25,6344
"392",2016-07-26,5757
"393",2016-07-27,6282
"394",2016-07-28,6322
"395",2016-07-29,9095
"396",2016-07-30,7081
"397",2016-07-31,9467
"398",2016-08-01,7580
"399",2016-08-02,6849
"400",2016-08-03,7081
"401",2016-08-04,6686
"402",2016-08-05,9417
"403",2016-08-06,12229
"404",2016-08-07,15237
"405",2016-08-08,8719
"406",2016-08-09,7319
"407",2016-08-10,6386
"408",2016-08-11,7556
"409",2016-08-12,7607
"410",2016-08-13,10237
"411",2016-08-14,10897
"412",2016-08-15,8405
"413",2016-08-16,7677
"414",2016-08-17,7498
"415",2016-08-18,7155
"416",2016-08-19,7842
"417",2016-08-20,8598
"418",2016-08-21,10398
"419",2016-08-22,9699
"420",2016-08-23,8318
"421",2016-08-24,7112
"422",2016-08-25,9033
"423",2016-08-26,9985
"424",2016-08-27,12058
"425",2016-08-28,13596
"426",2016-08-29,9059
"427",2016-08-30,9771
"428",2016-08-31,7581
"429",2016-09-01,6842
"430",2016-09-02,6841
"431",2016-09-03,8717
"432",2016-09-04,10913
"433",2016-09-05,9721
"434",2016-09-06,6976
"435",2016-09-07,6506
"436",2016-09-08,7394
"437",2016-09-09,9073
"438",2016-09-10,10490
"439",2016-09-11,9259
"440",2016-09-12,7175
"441",2016-09-13,6693
"442",2016-09-14,7087
"443",2016-09-15,6617
"444",2016-09-16,7279
"445",2016-09-17,8340
"446",2016-09-18,9256
"447",2016-09-19,7261
"448",2016-09-20,7515
"449",2016-09-21,6842
"450",2016-09-22,6497
"451",2016-09-23,7127
"452",2016-09-24,7850
"453",2016-09-25,9209
"454",2016-09-26,7099
"455",2016-09-27,5974
"456",2016-09-28,6487
"457",2016-09-29,6185
"458",2016-09-30,7191
"459",2016-10-01,8042
"460",2016-10-02,8397
"461",2016-10-03,7568
"462",2016-10-04,6828
"463",2016-10-05,6963
"464",2016-10-06,5891
"465",2016-10-07,6319
"466",2016-10-08,7997
"467",2016-10-09,9196
"468",2016-10-10,7159
"469",2016-10-11,6686
"470",2016-10-12,8018
"471",2016-10-13,6622
"472",2016-10-14,7277
"473",2016-10-15,9648
"474",2016-10-16,8818
"475",2016-10-17,7287
"476",2016-10-18,6744
"477",2016-10-19,7322
"478",2016-10-20,7177
"479",2016-10-21,7969
"480",2016-10-22,9779
"481",2016-10-23,9543
"482",2016-10-24,8172
"483",2016-10-25,8040
"484",2016-10-26,6575
"485",2016-10-27,6793
"486",2016-10-28,7765
"487",2016-10-29,8039
"488",2016-10-30,8442
"489",2016-10-31,7179
"490",2016-11-01,6758
"491",2016-11-02,6775
"492",2016-11-03,6285
"493",2016-11-04,9881
"494",2016-11-05,9542
"495",2016-11-06,9138
"496",2016-11-07,7384
"497",2016-11-08,7081
"498",2016-11-09,5255
"499",2016-11-10,6372
"500",2016-11-11,9075
"501",2016-11-12,10984
"502",2016-11-13,9940
"503",2016-11-14,9726
"504",2016-11-15,8771
"505",2016-11-16,7399
"506",2016-11-17,8382
"507",2016-11-18,8927
"508",2016-11-19,10598
"509",2016-11-20,9810
"510",2016-11-21,7979
"511",2016-11-22,7928
"512",2016-11-23,7663
"513",2016-11-24,8253
"514",2016-11-25,10605
"515",2016-11-26,10814
"516",2016-11-27,10447
"517",2016-11-28,8531
"518",2016-11-29,8374
"519",2016-11-30,8147
"520",2016-12-01,8226
"521",2016-12-02,8175
"522",2016-12-03,8568
"523",2016-12-04,10941
"524",2016-12-05,10900
"525",2016-12-06,8520
"526",2016-12-07,7162
"527",2016-12-08,6705
"528",2016-12-09,8578
"529",2016-12-10,9611
"530",2016-12-11,12092
"531",2016-12-12,8536
"532",2016-12-13,8239
"533",2016-12-14,8344
"534",2016-12-15,8227
"535",2016-12-16,8806
"536",2016-12-17,10012
"537",2016-12-18,10581
"538",2016-12-19,9818
"539",2016-12-20,14681
"540",2016-12-21,9699
"541",2016-12-22,9754
"542",2016-12-23,9593
"543",2016-12-24,12732
"544",2016-12-25,14050
"545",2016-12-26,13155
"546",2016-12-27,11762
"547",2016-12-28,72002
"548",2016-12-29,17873
"549",2016-12-30,14842
"550",2016-12-31,13573
"551",2017-01-01,12939
"552",2017-01-02,14346
"553",2017-01-03,10270
"554",2017-01-04,11491
"555",2017-01-05,12434
"556",2017-01-06,10632
"557",2017-01-07,16375
"558",2017-01-08,14078
"559",2017-01-09,13348
"560",2017-01-10,10874
"561",2017-01-11,9779
"562",2017-01-12,9500
"563",2017-01-13,9817
"564",2017-01-14,11323
"565",2017-01-15,13337
"566",2017-01-16,10001
"567",2017-01-17,8809
"568",2017-01-18,8563
"569",2017-01-19,8268
"570",2017-01-20,7677
"571",2017-01-21,8901
"572",2017-01-22,10486
"573",2017-01-23,8248
"574",2017-01-24,8972
"575",2017-01-25,9535
"576",2017-01-26,8983
"577",2017-01-27,8767
"578",2017-01-28,12251
"579",2017-01-29,11506
"580",2017-01-30,10178
"581",2017-01-31,8751
"582",2017-02-01,9475
"583",2017-02-02,8662
"584",2017-02-03,11019
"585",2017-02-04,9896
"586",2017-02-05,10735
"587",2017-02-06,8400
"588",2017-02-07,8554
"589",2017-02-08,7422
"590",2017-02-09,8084
"591",2017-02-10,9659
"592",2017-02-11,9124
"593",2017-02-12,10557
"594",2017-02-13,9797
"595",2017-02-14,7348
"596",2017-02-15,7182
"597",2017-02-16,8051
"598",2017-02-17,7557
"599",2017-02-18,9159
"600",2017-02-19,14152
"601",2017-02-20,10954
"602",2017-02-21,10878
"603",2017-02-22,7677
"604",2017-02-23,8598
"605",2017-02-24,7702
"606",2017-02-25,9726
"607",2017-02-26,12966
"608",2017-02-27,11613
"609",2017-02-28,10175
"610",2017-03-01,8956
"611",2017-03-02,8696
"612",2017-03-03,8341
"613",2017-03-04,10331
"614",2017-03-05,12956
"615",2017-03-06,8397
"616",2017-03-07,7980
"617",2017-03-08,7425
"618",2017-03-09,6708
"619",2017-03-10,7510
"620",2017-03-11,10000
"621",2017-03-12,10978
"622",2017-03-13,7843
"623",2017-03-14,7866
"624",2017-03-15,8477
"625",2017-03-16,8338
"626",2017-03-17,7440
"627",2017-03-18,8890
"628",2017-03-19,9843
"629",2017-03-20,8753
"630",2017-03-21,7675
"631",2017-03-22,6882
"632",2017-03-23,7177
"633",2017-03-24,8010
"634",2017-03-25,21681
"635",2017-03-26,25659
"636",2017-03-27,9257
"637",2017-03-28,8368
"638",2017-03-29,7685
"639",2017-03-30,7994
"640",2017-03-31,7938
"641",2017-04-01,8591
"642",2017-04-02,9524
"643",2017-04-03,7291
"644",2017-04-04,6844
"645",2017-04-05,6995
"646",2017-04-06,6910
"647",2017-04-07,7038
"648",2017-04-08,9371
"649",2017-04-09,8278
"650",2017-04-10,7913
"651",2017-04-11,7848
"652",2017-04-12,13475
"653",2017-04-13,8838
"654",2017-04-14,8762
"655",2017-04-15,8305
"656",2017-04-16,8229
"657",2017-04-17,8574
"658",2017-04-18,7051
"659",2017-04-19,6896
"660",2017-04-20,6717
"661",2017-04-21,7553
"662",2017-04-22,9325
"663",2017-04-23,10116
"664",2017-04-24,9031
"665",2017-04-25,27850
